name,city,state,mohLink,phone,fax,website,beds,address
Hospital Alor Gajah,Alor Gajah,Melaka,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/30,06-5562333,06-5567392,http://hag.moh.gov.my,78,"Pejabat Hospital, Hospital Alor Gajah,
Alor Gajah, Melaka,
78000 Alor Gajah,
Melaka"
Hospital Ampang,Ampang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/116,03-42896000,03-42954666,http://hampg.moh.gov.my,422,"Jalan Mewah Utara,
Ampang, Selangor,
68000 Ampang,
Selangor"
Hospital Bahagia Ulu Kinta,Ulu Kinta,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/134,05-5332333,05-5331350,http://hbuk.moh.gov.my,2200,"Tanjong Rambutan,
Ulu Kinta, Perak,
31250 Ulu Kinta,
Perak"
Hospital Balik Pulau,Balik Pulau,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/64,04-8669333,04-8666058,http://jknpenang.moh.gov.my/hbp/,71,"Balik Pulau,
Balik Pulau, Pulau Pinang,
11000 Balik Pulau,
Pulau Pinang"
Hospital Baling,Baling,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/12,04-4701333,04-4701160,http://hbaling.moh.gov.my,160,"Jala Hospital,
Baling, Kedah,
09100 Baling,
Kedah"
Hospital Banting,Banting,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/120,03-31871333,03- 31871153,,153,"Jalan Sultan Alam Shah,
Banting, Selangor,
42700 Banting,
Selangor"
Hospital Batu Gajah,Batu Gajah,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/54,05-3663333,05-3663851,http://hbgjh.moh.gov.my,160,"Jalan Changkat,
Batu Gajah, Perak,
31000 Batu Gajah,
Perak"
Hospital Bau,Bau,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/93,082-763711,082-763716,,68,"Batu 1 ½,  Jalan Bau-Lundu,
Bau, Sarawak,
94000 Bau,
Sarawak"
Hospital Beaufort,Beaufort,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/70,087-212333,087-211725,http://hbeaufort.moh.gov.my,184,"Peti Surat 40,
Beaufort, Sabah,
89807 Beaufort,
Sabah"
Hospital Beluran,Beluran,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/71,089-511233/333,089-511242,,46,"Karung Berkunci No : 02,
Beluran, Sabah,
90109 Beluran,
Sabah"
Hospital Bentong,Bentong,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/39,09-2223333,09-2224494,http://hspben.moh.gov.my/,152,"28700 Bentong,
Bentong, Pahang,
28700 Bentong,
Pahang"
Hospital Besut,Besut,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/124,09-6971130/09-6971200,09-6972762,,140,"Jalan Pasir Akar, Jerteh,
Besut, Terengganu,
22000 Besut,
Terengganu"
Hospital Betong,Betong,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/94,083-472821,083-472664,,48,"Jalan Betong,
Betong, Sarawak,
95707 Betong,
Sarawak"
Hospital Bintulu,Bintulu,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/95,086-255899,086-255866,http://hbtu.moh.gov.my,284,"Jalan Nyabau,
Bintulu, Sarawak,
97000 Bintulu,
Sarawak"
Hospital Bukit Mertajam,Bukit Mertajam,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/66,04-5497333,04-5497299,http://jknpenang.moh.gov.my/hbm/,242,"Jalan Kulim, Bukit Mertajam,
Bukit Mertajam, Pulau Pinang,
14000 Bukit Mertajam,
Pulau Pinang"
Hospital Changkat Melintang,Bota,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/62,05-3761333,05-3761400,,50,"Lambor Kanan,Parit,
Bota, Perak,
32900 Bota,
Perak"
