name,latitude,longitude,globalPlusCode,phone,website,beds,address,city,state,notes,mapsAddress
Hospital Alor Gajah,2.3954375,102.2020625,6PJ496W2+5R,06-5562333,http://hag.moh.gov.my,78,"Pejabat Hospital, Hospital Alor Gajah,
Alor Gajah, Melaka,
78000 Alor Gajah,
Melaka",Alor Gajah,Melaka,,"Jalan Paya Datok / Simpang, Kampung Tepat, 78000 Alor Gajah, Melaka"
Hospital Ampang,3.1281875,101.7640625,6PM34QH7+7J,03-42896000,http://hampg.moh.gov.my,422,"Jalan Mewah Utara,
Ampang, Selangor,
68000 Ampang,
Selangor",Ampang,Selangor,,"Hospital Ampang, Jalan Mewah Utara, Taman Pandan Mewah, 68000 Ampang Jaya, Selangor"
Hospital Bahagia Ulu Kinta,4.6755625,101.1506875,6PP3M5G2+67,05-5332333,http://hbuk.moh.gov.my,2200,"Tanjong Rambutan,
Ulu Kinta, Perak,
31250 Ulu Kinta,
Perak",Ulu Kinta,Perak,,"Jalan Besar, 31250 Tanjung Rambutan, Negeri Perak"
Hospital Balik Pulau,5.3501875,100.2331875,6PQ2962M+37,04-8669333,http://jknpenang.moh.gov.my/hbp/,71,"Balik Pulau,
Balik Pulau, Pulau Pinang,
11000 Balik Pulau,
Pulau Pinang",Balik Pulau,Pulau Pinang,,"Jalan Balik Pulau, 11000 Balik Pulau, Pulau Pinang"
Hospital Baling,5.678812499999999,100.9250625,6PQ2MWHG+G2,04-4701333,http://hbaling.moh.gov.my,160,"Jala Hospital,
Baling, Kedah,
09100 Baling,
Kedah",Baling,Kedah,,"Baling, 09100 Baling, Kedah"
Hospital Banting,2.8028125,101.4938125,6PJ3RF3V+4G,03-31871333,,153,"Jalan Sultan Alam Shah,
Banting, Selangor,
42700 Banting,
Selangor",Banting,Selangor,,"Jalan Sultan Alam Shah, 42700 Banting, Selangor"
Hospital Batu Gajah,4.4794375,101.0350625,6PP3F2HP+Q2,05-3663333,http://hbgjh.moh.gov.my,160,"Jalan Changkat,
Batu Gajah, Perak,
31000 Batu Gajah,
Perak",Batu Gajah,Perak,,"Hospital Batu Gajah Jalan Changkat Batu Gajah, Jalan Hospital, Batu Gajah, Negeri Perak"
Hospital Bau,1.4295625,110.1426875,6PHGC4HV+R3,082-763711,,68,"Batu 1 ½,  Jalan Bau-Lundu,
Bau, Sarawak,
94000 Bau,
Sarawak",Bau,Sarawak,,"Batu 1 1/2, Jalan Bau-Lundu, Bau, Kuching, 94000, Bau, Sarawak"
Hospital Beaufort,5.351437499999999,115.7409375,6PQQ9P2R+H9,087-212333,http://hbeaufort.moh.gov.my,184,"Peti Surat 40,
Beaufort, Sabah,
89807 Beaufort,
Sabah",Beaufort,Sabah,,"Hospital Beaufort, Peti Surat 40, Beaufort, 89807, Beaufort, Sabah"
Hospital Beluran,5.8934375,117.5554375,6PQVVHV4+95,089-511233/333,,46,"Karung Berkunci No : 02,
Beluran, Sabah,
90109 Beluran,
Sabah",Beluran,Sabah,,"Beg Berkunci 2, Beluran, 90109, Beluran, Sabah"
